alcaldia_cumplimiento,Average of valor_unitario_suelo,Average of valor_suelo
MIGUEL HIDALGO,8119.95525,2572089.462
CUAUHTEMOC,5856.018663,979024.0051
BENITO JUAREZ,5778.170617,870731.9133
CUAJIMALPA DE MORELOS,5296.994278,3005422.288
COYOACAN,3698.842954,2389482.298
ALVARO OBREGON,3625.201825,4929141.426
TLALPAN,3286.904177,2963513.42
VENUSTIANO CARRANZA,3045.590614,553415.7023
IZTACALCO,2571.298944,546295.0935
MAGDALENA CONTRERAS,2516.159782,942455.0387
AZCAPOTZALCO,2493.281522,1857680.669
GUSTAVO A. MADERO,2277.053301,822336.5845
IZTAPALAPA,1695.908494,504941.9809
XOCHIMILCO,1658.766406,1051157.611
TLAHUAC,1163.600208,406501.9666
MILPA ALTA,545.9182809,396242.6372